,country_zone,country_name_en,country_currency_code,day,new_customer_amount,generic_customer_amount,total_amount
9322,LATAM,Chile,CLP,2018-12-08,0.0,36494031.93106539,38028565.56125437
9323,LATAM,Chile,CLP,2018-12-09,0.0,27486454.619409498,30293368.82146359
9324,LATAM,Chile,CLP,2018-12-10,0.0,19827243.053238194,21539406.26096703
9325,LATAM,Chile,CLP,2018-12-11,0.0,21018955.010553412,22324270.318876244
9326,LATAM,Chile,CLP,2018-12-12,0.0,21771039.412830412,22401536.01702636
9327,LATAM,Chile,CLP,2018-12-13,0.0,22223596.277835485,23814690.10052855
9328,LATAM,Chile,CLP,2018-12-14,0.0,32705562.444666605,34131605.96020909
9329,LATAM,Chile,CLP,2018-12-15,0.0,41261668.457095996,43935217.580091685
9330,LATAM,Chile,CLP,2018-12-16,0.0,40831026.72817594,41787636.15401706
9331,LATAM,Chile,CLP,2018-12-17,0.0,124921357.90477665,81256401.89474267
9332,LATAM,Chile,CLP,2018-12-18,0.0,34052049.49672215,36021093.01470749
9333,LATAM,Chile,CLP,2018-12-19,0.0,40251857.44634327,45394851.60243977
9334,LATAM,Chile,CLP,2018-12-20,0.0,47521390.77593297,48241466.495824575
9335,LATAM,Chile,CLP,2018-12-21,0.0,52646364.54010513,52909554.424519554
9336,LATAM,Chile,CLP,2018-12-22,0.0,57395852.178670265,57510842.39534602
9337,LATAM,Chile,CLP,2018-12-23,0.0,56346978.52341178,57042994.5609456
9338,LATAM,Chile,CLP,2018-12-24,0.0,52096146.63295493,52801330.16271679
9339,LATAM,Chile,CLP,2018-12-26,0.0,14965109.133902874,14394123.688776439
9340,LATAM,Chile,CLP,2018-12-27,0.0,18800027.542982448,19266289.12208193
9341,LATAM,Chile,CLP,2018-12-28,0.0,16047901.181140894,15475165.538126554
9342,LATAM,Chile,CLP,2018-12-29,0.0,20677976.58406286,23488076.58936101
9343,LATAM,Chile,CLP,2018-12-30,0.0,18580858.45860939,17883442.262765247
9344,LATAM,Chile,CLP,2018-12-31,0.0,9952378.440354563,9854464.838007892
9345,LATAM,Chile,CLP,2019-01-02,0.0,13412998.199862448,14598701.882909313
9346,LATAM,Chile,CLP,2019-01-03,0.0,17605661.488110635,18997250.47510539
9347,LATAM,Chile,CLP,2019-01-04,0.0,19779487.020742383,19943411.88418783
9348,LATAM,Chile,CLP,2019-01-05,0.0,19442257.11934846,20763417.25715775
9349,LATAM,Chile,CLP,2019-01-06,0.0,22938496.72903577,23022266.960095875
9350,LATAM,Chile,CLP,2019-01-07,0.0,13639841.569657916,15222308.467571862
9351,LATAM,Chile,CLP,2019-01-08,0.0,12918046.668043504,13706787.746590484
9352,LATAM,Chile,CLP,2019-01-09,0.0,11047638.985963637,11434942.270474572
9353,LATAM,Chile,CLP,2019-01-10,0.0,18505413.85243884,19104916.445936315
9354,LATAM,Chile,CLP,2019-01-11,0.0,15066115.490998302,16897385.20360002
9355,LATAM,Chile,CLP,2019-01-12,0.0,22132444.199481074,23696766.640810277
9356,LATAM,Chile,CLP,2019-01-13,0.0,22048474.57878817,23803510.9884496
9357,LATAM,Chile,CLP,2019-01-14,0.0,12553850.426533649,12998657.68114392
